train_dataset,test_dataset,seed,accuracy,precision,recall,f1,model_path
A,A,0,0.7727682596934174,0.8111254851228978,0.8553888130968622,0.8326693227091634,models/A/model_seed0.pth
A,A,1,0.781785392245266,0.8143405889884763,0.8676671214188267,0.8401585204755614,models/A/model_seed1.pth
A,A,2,0.7592425608656447,0.7919799498746867,0.8622100954979536,0.8256041802743305,models/A/model_seed2.pth
A,D,0,0.6889089269612263,0.8003095975232198,0.7053206002728513,0.7498187092095722,models/A/model_seed0.pth
A,D,1,0.6889089269612263,0.783625730994152,0.7312414733969986,0.7565278757939309,models/A/model_seed1.pth
A,D,2,0.7060414788097386,0.7894736842105263,0.757162346521146,0.7729805013927576,models/A/model_seed2.pth
B,B,0,1.0,1.0,1.0,1.0,models/B/model_seed0.pth
B,B,1,1.0,1.0,1.0,1.0,models/B/model_seed1.pth
B,B,2,1.0,1.0,1.0,1.0,models/B/model_seed2.pth
B,C,0,0.0,0.0,0.0,0.0,models/B/model_seed0.pth
B,C,1,0.0,0.0,0.0,0.0,models/B/model_seed1.pth
B,C,2,0.0,0.0,0.0,0.0,models/B/model_seed2.pth
B,D,0,0.5356176735798016,0.6570605187319885,0.6221009549795361,0.6391030133146461,models/B/model_seed0.pth
B,D,1,0.5347159603246168,0.6561151079136691,0.6221009549795361,0.6386554621848739,models/B/model_seed1.pth
B,D,2,0.521190261496844,0.6530303030303031,0.5879945429740792,0.618808327351041,models/B/model_seed2.pth
D,C,0,0.7853922452660054,0.8066914498141264,0.888130968622101,0.8454545454545455,models/D/model_seed0.pth
D,C,1,0.7844905320108205,0.7858796296296297,0.9263301500682128,0.8503443957420163,models/D/model_seed1.pth
D,C,2,0.7457168620378719,0.7850821744627055,0.8472032742155525,0.8149606299212598,models/D/model_seed2.pth
D,D,0,0.7556357078449053,0.7866004962779156,0.8649386084583902,0.8239116309291747,models/D/model_seed0.pth
D,D,1,0.7745716862037872,0.806861499364676,0.8663028649386084,0.8355263157894737,models/D/model_seed1.pth
D,D,2,0.7754733994589721,0.8002481389578163,0.8799454297407913,0.8382066276803118,models/D/model_seed2.pth
